id,name,image_file,image_url,status,error
0h41P6JLhSF8yLKkkrdV,Derssa,migrations\images\0h41P6JLhSF8yLKkkrdV_derssa.jpg,https://i.ytimg.com/vi/OEQnHC_9HSs/oardefault.jpg?sqp=-oaymwEkCJQDENAFSFqQAgHyq4qpAxMIARUAAAAAJQAAyEI9AICiQ3gB&rs=AOn4CLCnqx1ylE2O8L536iiuo47n-lNqDA,downloaded,
0u8ciBprwyNMMe0R3oCX,Fura da Nono,migrations\images\0u8ciBprwyNMMe0R3oCX_fura_da_nono.webp,https://afrifoodnetwork.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2024/04/nono-2.jpg.webp,downloaded,
2v9cZJx9I6pjixOCFYqV,Gurasa,,,no_match,
3NpoiRyKZfD93DtHbCjt,Ofada Rice & Ayamase Stew,,,no_match,
420SnHSI2Mls4MxtnLnl,Ikokore,,,no_match,
42BFmqIVc5smqVVRp7Uq,Edo black soup,,,no_match,
4emeVh0N4WczHUPuO4Rl,Chikanda (African Polony),,,no_match,
68KNkyMI6EEoFRYn5gQq,Koose (Bean Cake) and Koko,,,no_match,
6hGGLeen1EFlMTaDL93H,Achu Soup & Fufu,,,no_match,
71Z1N1W5SeTrdShjpOrs,Sharba Libiya (Libyan Soup),,,no_match,
7lAlb1AkphDpBu0Gb0VD,Ofe Nsala (White Soup),,,no_match,
7w9c4UijTbUavNz8UAoR,Ampesi (Boiled Yam/Plantain) with Kontomire,,,no_match,
AE5IGgZfxOeYZaQAh2hC,Ewedu Soup,,,no_match,
AyYV7AWGyTwMsIEikDC3,Muboora (Pumpkin Leaves),,,no_match,
BkbtBKC0ij5dx5bnjXxu,Rechta,,,no_match,
C2zz9NX3TWuDzNLPYDCO,Mahindi Choma (Roasted Corn),,,no_match,
CdmXRovPoPb3aDyK1XbC,Caldou,,,no_match,
DZOUNYOkWykpbQuCWc9R,Chipsi Mayai (Chips Mayai),,,no_match,
Dw5Q68WYttz3B56QixeO,Miyan Kuka (Baobab Soup),,,no_match,
EFsaSrypa2YJKZlySXr7,Brik à l'Oeuf,,,no_match,
ElUOkWxrvMz93b9ED0bX,Agege Bread and Ewa Agoyin,,,no_match,
FArK8jmap6pdWEWAEFlT,Kilishi,,,no_match,
FqqDkSkbzUP5oYX8o7xk,Nyembwe Chicken,,,no_match,
G2VN9HFMatpI0b20EcrQ,Sishwala,,,no_match,
Ga0Yq7u8V764lVApPaNw,Fufu and Pondu,,,no_match,
HJzEoVMFTnhKf95KAdHG,Kilishi,,,no_match,
Hn5OTVTlawIkngFECgHd,Isi Ewu (Goat Head),,,no_match,
JtWpu7yN3nvR8WK64uUu,Kikomando,,,no_match,
JvaoPX5yaylKNZI3auwo,Attiéké and Fried Fish,,,no_match,
JxeEnt5kfbFVLbqjSvVc,Gizdodo,,,no_match,
Mys8UO8wi0ofSxTOwYCf,Vitumbuwa (Zambian Fritters),,,no_match,
NpJeOSY0heM35tc5Sg30,Ugali na Nyama,,,no_match,
OslneX8sSy30WLkMV7JL,Wali na Maharage,,,no_match,
PeCGnE7rLEzehucCMFol,Ndizi Nyama (Plantain & Meat),,,no_match,
Q10KoZOXN43xLCxtYLut,Pâte Noire & Sauce Gombo,,,no_match,
QWlLdpAOKUF8bIv7ZSYB,Lahoh,,,no_match,
QgzZHrO2krWUF2Fk2NOR,Kat Kat Banane,,,no_match,
QhLBN0mqa2HOhobotOkq,Nkwobi,,,no_match,
RZ1SASBdyx8C1tuzSpWd,Eru Soup,,,no_match,
TnGXe6yZojOQoSOB9p7O,Ekpang Nkukwo,,,no_match,
ToYru7fvF2UaDfeSHhRe,Bogobe (Sorghum Porridge),,,no_match,
URqrswWPLRZnkNwkgKui,Koklo Meme (Grilled Chicken),,,no_match,
Ugm7irxuiNSajeio7YZ7,Ofe Onugbu (Bitter Leaf Soup),,,no_match,
Vk7MV5lFibALrno8lRUb,Babenda,,,no_match,
W4FI3VAjI5A80Hzw7Djc,Calulu São-tomense,,,no_match,
WzUMnGZDdn8ImL9zxaVN,Cassava Leaf Stew,,,no_match,
YLL6Sof4G7xOY3Wvjyyy,Dambou (Niger),,,no_match,
YPZMoKBN4hqVjOiE1iyY,Indomie Jollof,,,no_match,
ZqAL80w2lwJuituWdepO,Bariis Iskukaris (Somali Spiced Rice),,,no_match,
a6kqCkBtsbre1igV3bBN,Succotash de Mariscos,,,no_match,
aFgcXO5TYYdfmmozXUjz,Ofe Oha,,,no_match,
aTcBbURUIGez7byusa1F,Tigadèguèna (Mali Peanut Stew),,,no_match,
bcJreidGkqwTNSGWkJi1,Moi Moi and Custard/Pap,,,no_match,
cWbvSJaqYPsxMjGmL2gj,"Nshima, Kapenta and Chibwabwa",,,no_match,
drsfsb17zNmrK1pfDWXw,Muamba de Galinha,,,no_match,
