id,name,image_file,image_url,status,error
0h41P6JLhSF8yLKkkrdV,Derssa,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/gf16a9440fe1c9394f67bd096e182813b5b498e8c8fadb407af482ef35b2f443f1dc30410d66abf1c2c8e13db821d84129f32ac29c20bdb4519786d533ea4da1d_1280.jpg')
0u8ciBprwyNMMe0R3oCX,Fura da Nono,migrations\images\0u8ciBprwyNMMe0R3oCX_fura_da_nono.jpg,https://pixabay.com/get/geecc0ab9984bd49cf38c7bc75722673e305113421d28a2044907b5df53953b146bdbe5c9bdf20c47ae4ecc57c89896155eb5310293d629b72033e122cab298db_1280.jpg,downloaded,
2v9cZJx9I6pjixOCFYqV,Gurasa,migrations\images\2v9cZJx9I6pjixOCFYqV_gurasa.jpg,https://pixabay.com/get/g9248ff6c190d18d83e4ca91d0812df970256567fe0481d3f6c4ce2f927cc39bf7cc899a54e4d9d3dcb9ebd4d5183ddb379f8c90965eec9bd625a8917fdcc0555_1280.jpg,downloaded,
3NpoiRyKZfD93DtHbCjt,Ofada Rice Ayamase Stew,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/gf9874f2694ccc5549228bbd4692fad6b97371d6100ed848f579e32e8bf6aef4e7c25915c23554a3aeaddc5b2b777b95335666e04fed30973144bbf91c52f53cf_1280.jpg')
420SnHSI2Mls4MxtnLnl,Ikokore water yam porridge,migrations\images\420SnHSI2Mls4MxtnLnl_ikokore_water_yam_porridge.jpg,https://pixabay.com/get/g395b86a5f9d7950768d2de292597208df5454b0dd6d4ca5e8905316d58f478c9b9c59cf71677ca61cd5d3123fc0ca3fab3dab6de903fb682b415f93ec0eb1687_1280.jpg,downloaded,
42BFmqIVc5smqVVRp7Uq,Edo black soup Nigerian,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/gacafe4ef243169d1291392efdecee0bed45fab681a72c0b528faf95308301a6cf933bb7c43be35b26a58e3dd3039739a7c4d32a44791154068488809ac05a5ba_1280.jpg')
4emeVh0N4WczHUPuO4Rl,Chikanda Zambian,migrations\images\4emeVh0N4WczHUPuO4Rl_chikanda_zambian.jpg,https://pixabay.com/get/g61335ced3e81d3bc30528480876b14b2370a21106310d38e0cbe3ed1ac27e654fc9c8ab0c0f36ba01f35854896f300bdc70bd972368ef53f5e9d2195acd62d9e_1280.jpg,downloaded,
68KNkyMI6EEoFRYn5gQq,Koose bean cake Ghana,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/gd8273c245fd5dc033aceb83704dff4fba531d0590a9b9717caa5915c684f0defde59eec2de4333748db3d54c1641ff36c188968748c375e8f0562cd7b816b9fd_1280.jpg')
6hGGLeen1EFlMTaDL93H,Achu soup Cameroon,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/gd11cf7fe4e0f10d580fdc1e00893b573f9bcc9751ce7a9ba029d5719ec98b023df370dbc2014b118871e60671aa86c0e73e1854db59c9111adfe43e8e7977503_1280.jpg')
71Z1N1W5SeTrdShjpOrs,Libyan soup,migrations\images\71Z1N1W5SeTrdShjpOrs_libyan_soup.jpg,https://pixabay.com/get/gd35233f6cc4b557ed9c3571778e07e285defa053e1f08017ec99c47f65c02ffa597a71701b0a23def9c174d3f669af574aee9c053aa438199e382a0249181695_1280.jpg,downloaded,
7lAlb1AkphDpBu0Gb0VD,Ofe Nsala white soup Nigeria,migrations\images\7lAlb1AkphDpBu0Gb0VD_ofe_nsala_white_soup_nigeria.jpg,https://pixabay.com/get/gdfb91ea344de19166d7cbbd9ac5efb8b9f099cae751c56a6f770b40b86eabcac20dc0177cbbe079f15654cf7472782b35bba1d6d3cf6cb821f1479b7ef45f219_1280.jpg,downloaded,
7w9c4UijTbUavNz8UAoR,Ampesi boiled plantain Ghana,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/g4bad67bdb2eff226532a848e250f950c8c14419fdd7a7f38057b3c9950d0eabc8e678d1157bcdfdad4d4f440b2210dcefb60ac5da471dd87df9d10d676a9a3ad_1280.jpg')
AE5IGgZfxOeYZaQAh2hC,Ewedu soup Nigeria,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/g1ffe11956ca2ba5c7cfc6ce2a0fc69744a473d9e02cb01c3024b63e2ec831805b50cc8ca9aac6da508fec3ef44fccfec56e48f9aa9aece679accd1fbbfc26401_1280.jpg')
AyYV7AWGyTwMsIEikDC3,pumpkin leaves stew Africa,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/gd2eda1da31996d1d433ba176693502128ebf0bf25dece71aabdfd6bc9e9db0b810b000a6c4161d8cf84fd8d69063e83f7c688ad7bbd3ecc463ab76a94d439570_1280.jpg')
BkbtBKC0ij5dx5bnjXxu,Rechta Algerian pasta,migrations\images\BkbtBKC0ij5dx5bnjXxu_rechta_algerian_pasta.jpg,https://pixabay.com/get/g8d2934b27dab25c01b56194e52a40ea46e1446d894f86ff263939f78b5a875f570f5874004c1662ff1531fed93f1124b517d3d99e52d2d00db93185772a266af_1280.jpg,downloaded,
C2zz9NX3TWuDzNLPYDCO,roasted corn Kenya,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/g3a0324700b1cf58e12e34af454bc0a781f47ea8c9306da8ae36dbdaecf2a41cf5acc7f815fca7dc8aa51aba94c4cbeafdea1de6738a743e77def6c97a3e947c1_1280.jpg')
CdmXRovPoPb3aDyK1XbC,Caldou Senegalese fish rice,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/gaa648daec048392008b927daed5b8a232503f45051d10e1cc7e464f75d7b79ceaf225139d004ff5e6c2149d1ebe7eb1cb50a2a1416edd00e65489bace2f28162_1280.jpg')
