id,name
07BC4w8wfLq8QJaX9kgD,"Sfenj (Moroccan Doughnut)"
0B9r9JLW8jOi5IPhk090,"Sambusa (Ethiopian)"
0D8Gq3wLjJeKXFNesh3o,"Matoke and Groundnut Sauce"
0h41P6JLhSF8yLKkkrdV,"Derssa"
0pjUBbNVeJAvQHKTfZhn,"Asida"
0u8ciBprwyNMMe0R3oCX,"Fura da Nono"
13nonrVm2t7XM6HwdPSr,"Red Red"
1XrMIAxspipjKjOBx63B,"Mbege"
1crCmJp7TdfaLHxQgM7r,"Maputi (Popcorn)"
1hM4zTDAdlOoTJT5SyiO,"Kelewele"
212ecXUIZWHcQY94SRhX,"Moi Moi (Bean Pudding)"
2P05giwtE9Sg20uEYVmW,"Yaji (spice blend)"
2YnGh1XgyLALeYZuXuYt,"Bunny Chow"
2v9cZJx9I6pjixOCFYqV,"Gurasa"
2xmuwHfnlWWCke3faQeT,"Kisra (Sudanese Flatbread)"
3D2tWGrvK1GerA5y9R7G,"Bazin"
3JWmBjAVKEozavnO6Zzp,"Daraba (Okra Stew)"
3NpoiRyKZfD93DtHbCjt,"Ofada Rice & Ayamase Stew"
3X4cpn8XeOgqBn66l3xs,"Mafé (Peanut Stew)"
3YlKLLR47IFpOX7GeYe2,"Pap and Chakalaka"
3olzZ3dyxPJJgcWEL5Y1,"Misir Wot (Red Lentil Stew)"
3yG2PEdaLmdTwOFRFRJS,"Fried Rice"
420SnHSI2Mls4MxtnLnl,"Ikokore"
42BFmqIVc5smqVVRp7Uq,"Edo black soup"
4GgaAABevkpyiEvs5oPl,"Attiéké (Cassava Couscous)"
4emeVh0N4WczHUPuO4Rl,"Chikanda (African Polony)"
4rjIawo12oo8ORMLz8k5,"Fufu (Akpu)"
4vSNnVisbF5plAZKcDg3,"Kelewele"
5E4e2ryg6SfhuzwUG9Bh,"Mukimo"
5JG5o5t6XuCMor5vQrez,"Maraq (dish)"
5X8j0siCATchO22jUife,"Ladob (Sweet Banana)"
5naKw81tsWrhIbYuMko7,"Kolo (Roasted Barley)"
5rD3vEua7mcp15XbbNst,"Zigni (Eritrean Beef Stew)"
5tMRhCwBjxXqDsCjT6OZ,"Chikwangue"
5zUauASn1nSzIDvY4ffv,"Zanzibar Pizza"
62WOfUBvzf31BeSQhuIN,"Suya"
68KNkyMI6EEoFRYn5gQq,"Koose (Bean Cake) and Koko"
6bHCa8b8WNK50PTI1auW,"Rolex (Chapati Egg Roll)"
6gccaJymWP7333lFbAhB,"Nigerian Chicken Stew"
6hCOMH8A32AX9qvK6Djg,"Eba (Garri)"
6hGGLeen1EFlMTaDL93H,"Achu Soup & Fufu"
6whU6asXKKOACwP6n7Xg,"Ful (Eritrean Fava Beans)"
70pF0bbHnF51hvEDLiJl,"Molokhia"
71Z1N1W5SeTrdShjpOrs,"Sharba Libiya (Libyan Soup)"
7Grqw882JIXc62RueOp4,"Piri Piri Chicken"
7HdTHHoxeppyVvCoSWRu,"Groundnut Soup (Sierra Leone)"
7MUd624kjUDUvNT0MIH9,"Molokhia"
7bKlTw23nTUjJok3qaIh,"Walwal (South Sudan Stew)"
7gtAocWiNtdBSBdJMNX8,"Banku and Tilapia"
7lAlb1AkphDpBu0Gb0VD,"Ofe Nsala (White Soup)"
7qM8a6lHevoLmXvvsYAj,"Sodabi"
7w9c4UijTbUavNz8UAoR,"Ampesi (Boiled Yam/Plantain) with Kontomire"
88N6SwWFBQAw4LNHZ9XW,"Roasted Corn"
8ILJaCIiVDYOGnO9WtMf,"Gozo (Cassava Bread)"
8M7LQwgE89jD3sQXbdBJ,"Vetkoek"
